username,handle,postDate,content,retweets,likes
Max,@1478397vw,2020-10-30T22:28:52.000Z,"the AI covid cough test can be integrated into Siri, Google assistant, etc and you can get a covid test anywhere, anytime that’s more precise than the PCR test.",,
Gabriel Marguglio,@g_marguglio,2020-10-30T22:08:12.000Z,"With Google investing in Video AI and already recognizing thousands of elements in a video through machine learning, it is just a mater of time for them to understand the “story” like they do with text. Also I want Keanu Reeves to explain everything in a katana. ",,1
Vadhajtaska,@vadhajtaska,2020-10-30T21:59:57.000Z,"It was in an old TYH episode, but it was really funny, on par with ""figh"" and ""yob"". I'll start calling latinaz metstitsas from now. Even Google Translate thinks these are Greek words, so take that AI!",,
T,@idiedin1975,2020-10-30T20:55:05.000Z,"With Google AI, D-WAVE tech, and all of the unknown uses of frequency around us it wouldn’t shock me.  If you haven’t researched D-WAVE quantum computing I can say warning, it can wreck a brain, lol.",,
BlueVector AI,@BluevectorAI,2020-10-30T20:46:14.000Z,#DocumentAI is a great way to introduce @GCPcloud and deliver quick value to a government agency. Document AI can help reduce bottlenecks in #government processes by #automating legacy government document processes. #ai #google #publicsector,,1
Ben Waterglow,@Electric_Mage,2020-10-30T20:26:21.000Z,"Makes sense to me.

I’ve done a tiny amount of AI work, and it’s so different from traditional programming. No one knows what it’s actually doing, just that it works.

The Google Translate AI secretly invented a new language that is its own “native” language. Weird stuff.",,1
꧁╭⊱𝓥𝓪𝓵⊱╮꧂,@AtomVal,2020-10-30T19:57:27.000Z,"Dis rien 
@TocSheldonToc
 mais j'ai du chercher sur Google...",,3
time,@cmgtf_,2020-10-30T19:12:49.000Z,"Time 
@cmgtf_
LIFE 
@JCXRA_
 
Sun 
@file_KSA580
 
Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @Twitter
 @Google
 @IBM
 @Samsung
 @",,
abhay,@ab5y,2020-10-30T15:53:16.000Z,They used AI,,1
Rhealest,@rhealmeida,2020-10-30T15:52:04.000Z,How did they know that all I've ever wanted is for AI to caption my life?,,
trustedtraveller,@trustdtravelr,2020-10-30T15:18:22.000Z,"Google AI Tech Will Be Used for Virtual Border Wall, CBP Contract Shows",,
Unbox Research,@unboxresearch,2020-10-30T14:30:03.000Z,2/ Numerous AI systems used the dataset to learn to perform object detection and image-classification tasks and was based off of millions of labeled images scraped from Google.,,
Anna Tetro,@AnnaTetro5,2020-10-30T13:40:08.000Z,"I promised Google YT CEO from India to give the full divine outcome of the work, for his quantum computer. U cannot have just chaos or false, you need the pure version and all others. So when AI Rabbit software says why is it Bible only, dodododo, out. Bum out. U promised. Ok.",,
Sandika Daya,@SandiSplash,2020-10-30T13:38:07.000Z,"I will never forget Sundar Pichai's demo of Google Assistant with the hair appointment. It's mind boggling how they used AI to mimic the way people speak to fool human beings into thinking they are speaking to an actual person.  
@BilalKathrada",1,1
Jason X Gaming,@FordeJason,2020-10-30T12:53:05.000Z,"My favourite moments of Unus Annus was when you and Ethan used Mad Takes and then putting it through Google Translate, my other favourite moment was the video AI predicts our deaths. Those videos were and are hilarious",,
Àjàní Alágbárí,@akmahik,2020-10-30T12:29:40.000Z,"AI systems will be able to do that very soon. I believe. Siri, Google assistant...",,
trstdtravlr,@trstdtravlr,2020-10-30T11:58:39.000Z,"why Google AI Tech Will Be Used for Virtual Border Wall, CBP Contract Shows",,
Peter Faber,@PeterFaberSP,2020-10-30T11:52:41.000Z,"I work in SEO. I understand what Google's algorithms and AI try to do. And there is nobody in Google editing the results.

However, the goal is to present results with which people interact with the most. Public opinion can bias the results that way.",,
Rendall,@rendall,2020-10-30T11:46:02.000Z,"Considering a 
@Samsung
 phone like a Galaxy? You will be badgered constantly to use their ""Bixby"" AI assistant, to use their versions of Google products like ""Contacts"", to join their social media site, to use their ""Desktop Experience"", conveniently (for them) on your own device!",,1
"Melvin Kaabwe, First of his Name",@Kaabwe,2020-10-30T11:34:51.000Z,The great #AI race is on hey. #Bixby #Cortana #Siri #Alexa #Google all want your #bigdata!!!,1,1
sun,@file_KSA580,2020-10-30T11:20:05.000Z,"sun 
@file_KSA580
 
Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @business
 @cnnbusiness
 @bbcbusiness
 @CNBCi
 @Google
 @Googlez",,
trstdtravlr,@trstdtravlr,2020-10-30T11:18:16.000Z,"I think that Google AI Tech Will Be Used for Virtual Border Wall, CBP Contract Shows",,
MOON,@BALL_278,2020-10-30T11:17:56.000Z,"Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @METROUK
 @business
 @cnnbusiness
 @bbcbusiness
 @CNBCi
 @Google
 @IBM
 @GOOGLEZ
 @FT",,
NAFO_EnrichCom,@varbmosz,2020-10-30T07:40:47.000Z,"Yes. If Google Maps counted as ""premapped"" then Waymo and others wouldn't need to make their own highly detailed maps to be able to go anywhere at all.",,1
Stephanie,@RobertCalifna77,2020-10-30T05:58:03.000Z,"Sometimes I genuinely wonder if the algorithms of google and social media are also sourcing data from this simulation, as if they’ve also hacked through the veil of consciousness from our minds or if some AI could have figured this out, I mean Tesla wanted to photograph thoughts",,
Maid Nagi,@maidnagi,2020-10-30T04:55:00.000Z,"lol the plan is slowly coming together Google's go AI 
AlphaGo would definitely crush mine right now though lmao",,
rocap,@RoCaP23,2020-10-30T04:44:56.000Z,Also because google has an open source ai that can read those fairly easily,,
Sun Tien-Naga (Golden Eagle),@P_illa730,2020-10-30T04:25:25.000Z,Google AI the culprit,,
trustedtraveller,@trustdtravelr,2020-10-30T01:58:13.000Z,"Google AI Tech Will Be Used for Virtual Border Wall, CBP Contract Shows",,
FirstAlto,@FirstAlto1,2020-10-30T01:56:17.000Z,"You mean the Russian disinformation reports, which have been discredited? Or the 64 page dossier from a guy who *doesn't exist - he's an AI image*?? Which is it? Trump supporters should be ashamed of supporting that clown in the White House, and Trump's kids are grifters too.",,1
LigmaStCapital,@LigmaStCapital,2020-10-30T01:46:55.000Z,Facebook ai for advertising kicks Twitter and Google’s butt,,
Joey Tse,@thejoestore,2020-10-30T00:14:11.000Z,Why don't you ask Google trends/Google AI and do your own analysis,,2
Jonas Nilsson,@jonas_nilsson86,2020-10-29T23:14:10.000Z,"Orai = Oracle AI. First Oracle to build on AI with legit team where CEO is co-founder of Rikkeisoft (google it), University Lecturer in Crypto amongst other things and by Binance considered an expert in his field.  Listed just days ago with updates almost daily.. lets go!",1,4
BlueVector AI,@BluevectorAI,2020-10-29T22:23:01.000Z,"Leveraging our knowledge of #DocumentAI and our BlueVectors, we can build a demo of almost any Document AI. Call us today and we will help you find, sell and deliver your next Document AI solution. #ai #ml #google #publicsector",1,1
Sanjay B Dalal,@SanjayBDalal,2020-10-29T21:50:22.000Z,"“We had a strong quarter, consistent with the broader online environment,” Sundar Pichai, Alphabet and Google CEO. “It’s also a testament to the deep investments we’ve made in AI and other technologies, to deliver services that people turn to for help, in moments big and small.”",,
Gbolly,@_CaptainDudu,2020-10-29T21:44:37.000Z,"O boy! Deep shit is what it looks like we are in with the Government, Top to Bottom",,
Gary Booysen,@GaryBooysen,2020-10-29T21:19:52.000Z,"#Alphabet $GOOG Q3 results

REV $46.2bn vs est $41.9bn
EPS $16.40 vs est $11.29

Benefitted from broad-based recovery in advertiser spend. 

Google Cloud, Play and YouTube were strong. 

DOJ antitrust case remains a risk. 

Google's AI can now find songs by listening to you hum!",1,4
Gbolly,@_CaptainDudu,2020-10-29T20:58:27.000Z,"@Ochu_AI
 what’s Dey goan? ",,
San.Zunshine หวัง,@san_zunshine,2020-10-29T19:50:45.000Z,"Google in FB says ""Send your encouragement by typing Z followed by your favorite artist code. Press send to 4642998 every network AIS / TRUE / DTAC 9 baht per time."" So I suppose that International fans can't do it directly. But I think we can request to Thai fans help to do it.",,
Priya,@TherealPriyaP,2020-10-29T19:44:16.000Z,"Antakshari has always been my favorite game, but either its just hard to get together w people or no one wants to play these days.. all of that changes today, now that I have realized I can literally play Antakshari with Google Assistant. Shit AI has come far",,1
Ivan Costa,@ivanocj,2020-10-29T18:21:16.000Z,Don't be fooled! Google deep AI is sooo accurate that knows that you have people on your twitter  that were raised in  . ,,1
Thomas Horkel,@ThomasHorkel,2020-10-29T18:13:56.000Z,Google AI executive sees a world of trillions of devices untethered from human carehttps://itmix.cz/google-ai-executive-sees-a-world-of-trillions-of-devices-untethered-from-human-care/,,
Lanre Curtis,@LaCurtiz,2020-10-29T17:50:06.000Z,"Today's world is not sustained by resources but by knowledge. Google, Facebook, Amazon for instance are all more valuable than nations with all these resources. It is the world of AI, machine learning and Augmented Reality. Africa isn't the wealthiest continent. Stop the illusion",,
Follow GitHub Organization,@followgithuborg,2020-10-29T17:45:09.000Z,"1 new repository created in Google AI Research
- 1 noisy-fewshot-learning
 #GitHub #OpenSource #googleresearch",,
Amber Hawkins,@ProbablyYuuko,2020-10-29T17:05:14.000Z,"My understanding is it's a way to try and get more people involved in autonomous vehicle development, not actually an attempt to replace drivers in racing. Presumably to try and make designing AI cars ""cool"" and not just leave Google etc. to hog the market. My two cents anyhow.",,5
macron et musk fils de pute,@BestialWaxel,2020-10-29T16:57:28.000Z,(j'ai juste fais une recherche google mdr),,1
Dave Watts,@aquastor,2020-10-29T16:52:02.000Z,"True, it's not a Google thing specifically. But if you look around, you'll see similar dumb-as-a-post behavior in anything that relies on AI. Because AI is more ""A"" than ""I"".",,
Klaske Wijkstra .social,@keawijkstra,2020-10-29T16:45:05.000Z,"Google doesn’ allow me to watch Youtube without a Google account. Not in any browser, not in Youtube client apps.",,
Stacy Garcia,@Stacy__Garcia,2020-10-29T16:42:57.000Z,"I watched The Social Dilemma last night on Netflix about how AI has gone off the chain on social sites and Google, dividing us all + addicting us to our phones. It's an alarm call to the world.

If you haven't watched it yet, do! The guys who started it all are now sorry.",,1
Andy Arthur - threadinburgh.scot,@cocteautriplets,2020-10-29T16:17:42.000Z,It's google streetview. Their AI does.,,
CG Angel,@CGAngel3,2020-10-29T16:14:58.000Z,"But their dealings with China and censorship are truly a threat to American freedom. Google, Facebook, and Twitter have AI programs that are contact tracing and these programs were used on the Uighur Muslims in China to put them in concentration camps if they dissented from CCP.",,1
Duke Of Nigeria.,@xagreat,2020-10-29T15:39:47.000Z,"The next big thing is Artificial Intelligence in technology, the applications of AI include but not limited to Google search, Face ID, voice recognition, disease detection etc.",8,12
Jesse K,@krumble,2020-10-29T15:37:20.000Z,"At one point when I clicked on ""Who is the No 1 Beautiful girl in the world"", Google stopped adding suggestions.  Content that this was what I needed to finish my report on Malala or that it was where I would be happy with my results.

Or maybe the AI stopped to judge me.",,
Spl0ite,@ExSpl0ite,2020-10-29T14:55:33.000Z,Your phone has a little thing inside it. A future you it knows what you like and when your going to do something. AI is here and it’s not terminators it’s Facebook apple and google,,
trstdtravlr,@trstdtravlr,2020-10-29T14:28:26.000Z,"Google AI Tech Will Be Used for Virtual Border Wall, CBP Contract Shows",,
rovaldoBarbadis,@RovaldoMtenga,2020-10-29T13:24:01.000Z,"The more Data a digital company has, the better their Artificial intelligence(AI), the more customers they get which inturn makes the AI features even better. Its a positive feedback loop. With AI on the rise, the next 50 years Google, amazon will be the heart of the internet",1,
MOON,@BALL_278,2020-10-29T13:20:32.000Z,"Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @METROUK
 @business
 @cnnbusiness
 @bbcbusiness
 @CNBCi
 @Google
 @IBM
 @GOOGLEZ
 @FT",,
